"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"Unnamed",0,0,0,255,"","","","","","","","","","","","","","",""
2,"pelvic girdle skeleton",204,41,150,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0007832","pelvic girdle skeleton","","","","","","","","",""
3,"pelvic fin ray 1",255,227,16,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_2001776","pelvic fin ray 1","","","","","","","","",""
4,"pelvic fin ray 2",0,170,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_2001777","pelvic fin ray 2","","","","","","","","",""
5,"pelvic fin ray 3",0,170,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_2001778","pelvic fin ray 3","","","","","","","","",""
6,"Unnamed",128,128,128,255,"","","","","","","","","","","","","","",""
7,"Unnamed",128,128,128,255,"","","","","","","","","","","","","","",""
8,"Unnamed",128,128,128,255,"","","","","","","","","","","","","","",""
